Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cndp maroc,71,71,40,15,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,836000,"[9,9,9,9,9,100,9,9,9,9,9,9]",2025-12-03,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, See results about",navigational,Organic
berocal,21,21,70,19,0.00,https://www.dabadoc.com/ma/en/pulmonologist/oujda/berocal-tejado,0,0,0.00,0.17,17100,"[0,0,0,0,100,0,0,0,0,0,1,0]",2025-09-08,"Related searches, AI overview","commercial, informational",Organic
dr khay,55,55,70,25,0.00,https://www.dabadoc.com/ma/cardiologue/casablanca/khadija-khay,0,0,0.00,0,4000000,"[52,9,9,52,9,9,52,52,52,52,23,33]",2025-12-18,"Knowledge panel, Image pack, Video",informational,Organic
cardiologue,43,43,170,28,3.54,https://www.dabadoc.com/ma,0,0,0.00,0.19,4560000,"[10,10,8,5,5,5,8,5,5,4,5,3]",2025-12-29,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
متيا,29,29,50,21,0.00,https://www.dabadoc.com/ma/ar/orthophoniste/marrakech/imane-motia,0,0,0.00,0,10,"[64,78,78,78,100,0,0,0,0,0,0,0]",2025-11-17,"Image pack, Video, Image, People also ask, See results about, AI overview",informational,Organic
متيا,32,32,50,21,0.00,https://www.dabadoc.com/ma/ar/orthophoniste/marrakech/imane-motia,0,0,0.00,0,10,"[64,78,78,78,100,0,0,0,0,0,0,0]",2025-11-17,"Image pack, Video, Image, People also ask, See results about, AI overview",informational,Organic
doctolib,89,89,9900,77,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,12600000,"[36,24,29,29,24,44,100,54,44,54,54,54]",2025-12-28,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
dabadaba,90,90,90,34,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,10,"[100,64,52,52,82,41,52,41,52,52,41,52]",2025-11-10,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches","informational, navigational",Organic
addictologue,51,51,50,15,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.05,10,"[2,2,3,9,9,5,9,9,11,4,2,2]",2025-11-12,"Image pack, Sitelinks, Video, Ads bottom, AI overview","commercial, informational",Organic
dr aida loudyi,9,9,50,19,0.00,https://www.dabadoc.com/ma/en/internist/casablanca/aida-loudyi,0,0,0.00,0,957,"[29,17,11,11,11,11,11,11,64,23,64,64]",2025-12-08,"Knowledge panel, Image pack, Image, Related searches",informational,Image pack
dr aida loudyi,26,26,50,19,0.00,https://www.dabadoc.com/ma/en/internist/casablanca/aida-loudyi,0,0,0.00,0,957,"[29,17,11,11,11,11,11,11,64,23,64,64]",2025-12-08,"Knowledge panel, Image pack, Image, Related searches",informational,Organic
dr aida loudyi,68,68,50,19,0.00,https://www.dabadoc.com/ma/medecin-interniste/casablanca/aida-loudyi,0,0,0.00,0,957,"[29,17,11,11,11,11,11,11,64,23,64,64]",2025-12-08,"Knowledge panel, Image pack, Image, Related searches",informational,Organic
dovtolib,65,65,90,67,1.78,https://www.dabadoc.com/ma,0,0,0.00,0.01,12700000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-10-17,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
بالفاس,77,77,140,28,0.00,https://www.dabadoc.com/ma/ar/medecin-generaliste/fes,0,0,0.00,0.01,15900000,"[15,11,15,11,11,11,18,35,100,28,18,23]",2025-11-30,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
docotlib,95,95,390,74,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,10700000,"[24,20,30,16,100,20,0,76,5,20,16,24]",2025-12-22,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
أفضل دكتور عظام في جدة,57,57,90,7,0.00,https://www.dabadoc.com/ma/ar/traumatologue-orthopediste/oujda,0,0,0.00,0,7160000,"[100,100,28,64,64]",2025-12-13,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
أفضل أطباء نفسيين في جدة,96,96,70,8,0.00,https://www.dabadoc.com/ma/ar/psychiatre/oujda,0,0,0.00,0,9250,"[100,42,4,14,14]",2025-12-02,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
dr jalal ent,32,32,70,12,2.12,https://www.dabadoc.com/ma/en/ear-nose-and-throat-doctor-ent/rabat/jalal-moumene,0,0,0.00,0.19,704000,"[45,81,63,45,81,63,63,81,63,63,63,81]",2025-12-06,"Knowledge panel, Related searches",informational,Organic
أفضل دكتورة نساء وولادة في جدة,52,52,90,3,0.00,https://www.dabadoc.com/ma/ar/gynecologue/oujda,0,0,0.00,0,353000,"[100,42,7,11,26]",2025-11-29,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
dbdoc,26,26,70,0,12.38,https://www.dabadoc.com/ma,0,0,0.00,0.2,13400,"[100,81,45,81,81,63,63,63,63,63,63,45]",2025-12-12,"Sitelinks, Video, Image, Related searches",informational,Organic
allergologue,69,69,70,18,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,905000,"[0,5,5,5,0,5,5,4,0,0,0,0]",2025-12-26,"Video, Image, Related searches, AI overview",informational,Organic
dr sebti,64,64,70,13,0.00,https://www.dabadoc.com/ma/gynecologue/kenitra/khalil-sebti,0,0,0.00,0.06,244000,"[63,81,63,63,81,27,100,81,63,63,81,63]",2025-11-16,"Local pack, Video",commercial,Organic
د جهاز هضمى,64,64,30,14,1.57,https://www.dabadoc.com/ma/ar/gastro-enterologue,0,0,0.00,0.09,22800000,"[0,0,100,18,100,18,18,18,18,18,18,18]",2025-12-13,"Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
docteur hajar,30,30,90,10,0.00,https://www.dabadoc.com/ma/dermatologue/casablanca/hajar-amarouch,0,0,0.00,0.01,16200000,"[63,63,45,63,81,81,81,81,81,81,63,100]",2025-12-05,"Video, Related searches, See results about","commercial, informational",Organic
docteur hajar,64,64,90,10,0.00,https://www.dabadoc.com/ma/gynecologue-obstetricien/marrakech/hajar-bezzaa,0,0,0.00,0.01,16200000,"[63,63,45,63,81,81,81,81,81,81,63,100]",2025-12-05,"Video, Related searches, See results about","commercial, informational",Organic
دكتوره عظام,50,50,40,7,2.81,https://www.dabadoc.com/ma/ar/traumatologue-orthopediste/nador,0,0,0.00,0.27,25700000,"[100,57,57,71,100,71,71,0,0,57,71,71]",2025-12-16,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
doctor dabs,65,65,50,5,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,46800000,"[50,50,35,35,35,28,28,100,0,21,64,21]",2025-11-05,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
gynécologue obstétricien,61,61,50,30,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10,"[3,4,4,0,8,0,8,0,1,1,8,1]",2025-11-08,"Image pack, Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
docteur sidi,60,60,70,12,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,12500000,"[52,29,29,41,29,17,41,41,41,23,41,41]",2025-12-14,"Video, Related searches","commercial, informational",Organic
db doc,29,29,70,52,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,10,"[15,19,2,2,12,12,2,2,2,2,2,10]",2025-11-17,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about",informational,Organic
db doc,53,53,70,52,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,10,"[15,19,2,2,12,12,2,2,2,2,2,10]",2025-11-17,"Image pack, Sitelinks, Video, People also ask, Related searches, See results about",informational,Organic
طبيب العينين,43,43,70,70,1.48,https://www.dabadoc.com/ma/ar/ophtalmologue/casablanca,0,0,0.00,0.17,133000000,"[63,100,45,63,45,63,63,63,45,45,63,45]",2025-12-27,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
طبيب العينين,74,74,70,70,1.48,https://www.dabadoc.com/ma/ar/ophtalmologue/marrakech,0,0,0.00,0.17,133000000,"[63,100,45,63,45,63,63,63,45,45,63,45]",2025-12-27,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
doctolib ophtalmo,12,12,50,33,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,902000,"[18,18,100,100,100,100,18,18,18,18,18,18]",2025-11-24,"Sitelinks, Related searches",navigational,Organic
doctolib login,59,59,40,33,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10,"[9,9,9,9,9,9,100,9,9,9,9,9]",2025-11-15,"Image pack, Related searches","navigational, transactional",Organic
doctolib login,60,60,40,33,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10,"[9,9,9,9,9,9,100,9,9,9,9,9]",2025-11-15,"Image pack, Related searches","navigational, transactional",Organic
proctologue,39,39,720,23,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,266000,"[1,3,3,66,1,100,3,1,66,5,0,3]",2025-10-01,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
tbib,61,61,880,27,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1420000,"[76,55,45,36,76,67,45,67,76,67,76,76]",2025-10-14,People also ask,informational,Organic
tbib,77,77,880,27,0.00,https://www.dabadoc.com/ma/ar/dermatologue/oujda,0,0,0.00,0,1420000,"[76,55,45,36,76,67,45,67,76,67,76,76]",2025-10-14,People also ask,informational,Organic
dr fatiha,53,53,260,18,0.00,https://www.dabadoc.com/ma/en/gynecologist/sale/fatiha-zniber,0,0,0.00,0,7350000,"[81,81,81,100,81,65,65,81,81,34,65,81]",2025-12-25,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
docteur benabou,16,16,40,13,0.00,https://www.dabadoc.com/ma/diabetologue/meknes/malika-benabou,0,0,0.00,0,145000,"[23,11,23,11,11,100,41,11,11,11,11,0]",2025-11-19,Related searches,informational,Organic
richard abittan,22,22,40,17,0.00,https://www.dabadoc.com/ma/en/general-surgeon/casablanca/richard-abittan-1,0,0,0.00,0,55600,"[100,14,78,28,14,14,0,14,14,14,14,14]",2025-11-26,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
بناني,22,22,110,28,0.36,https://www.dabadoc.com/ma/ar/gastro-enterologue/casablanca/mohamed-bennani-2,0,0,0.00,0.01,919000,"[53,28,53,35,43,12,0,82,35,0,17,0]",2025-12-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, See results about",informational,Organic
هدي زين العابدين,7,7,40,25,0.00,https://www.dabadoc.com/ma/ar/oto-rhino-laryngologiste-orl/casablanca/houda-zine-el-abidine,0,0,0.00,0.33,1050000,"[19,19,19,19,26,0,15,19,7,7,7,42]",2025-12-27,"Knowledge panel, Video, Image, Short videos",informational,Organic
dr hachimi,9,0,40,21,0.00,https://www.dabadoc.com/ma/en/psychiatrist/tanger/najib-hachimi,0,0,0.00,0.29,223000,"[100,11,41,11,11,23,11,23,11,11,11,11]",2025-12-31,"Image pack, Video, Image, Related searches",informational,Organic
faiza zaki,27,27,110,27,0.00,https://www.dabadoc.com/ma/cardiologue/sale/faiza-zaki-1,0,0,0.00,0,274000,"[34,81,100,34,12,81,21,12,6,6,6,6]",2025-12-15,"Knowledge panel, Image pack, Video, Image, People also ask, Short videos",informational,Organic
ostéopathe sciatique,84,84,40,0,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,834000,"[22,22,22,77,44,77,55,100,100,11,0,0]",2025-12-15,"Image pack, Image, People also ask, Related searches, AI overview",informational,Organic
al abkari,20,20,40,16,0.00,https://www.dabadoc.com/ma/en/gastroenterologist/fes/mohammed-el-abkari,0,0,0.00,0,170000,"[23,100,23,11,41,11,11,11,11,0,11,0]",2025-11-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
دكتوره,25,25,320,27,0.81,https://www.dabadoc.com/ma/ar/gynecologue-obstetricien/casablanca/leila-yamine,0,0,0.00,0,41800000,"[0,66,0,0,41,30,0,1,0,5,0,0]",2025-09-10,"Video, People also ask, Related searches, See results about, AI overview","commercial, informational",Organic
doctoloib,80,80,70,72,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10600000,"[0,0,0,54,18,1,54,1,0,0,0,0]",2025-12-17,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dabz,95,95,210,26,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,330000,"[81,65,65,53,65,53,53,65,81,100,81,65]",2025-12-05,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
دكتورة العيون,29,29,40,11,0.00,https://www.dabadoc.com/ma/ar/ophtalmologue/rabat,0,0,0.00,0,242000000,"[100,0,64,11,11,11,11,11,11,11,11,11]",2025-12-04,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
doctplib,92,92,30,71,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10700000,"[0,0,0,100,0,0,0,0,0,0,0,0]",2025-12-21,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
docteur chana,45,45,110,20,0.00,https://www.dabadoc.com/ma/en/diabetologist/rabat/mounia-chana-diabetologist-endocrinologist-rabat,0,0,0.00,0.02,23100,"[34,43,0,0,0,34,100,0,43,43,65,65]",2025-12-23,"Image pack, Video, Related searches, AI overview",informational,Organic
docteur chana,63,63,110,20,0.00,https://www.dabadoc.com/ma/ophtalmologue/rabat/nawfel-chana,0,0,0.00,0.02,23100,"[34,43,0,0,0,34,100,0,43,43,65,65]",2025-12-23,"Image pack, Video, Related searches, AI overview",informational,Organic
docteur chana,79,79,110,20,0.00,https://www.dabadoc.com/ma/diabetologue/rabat/mounia-chana,0,0,0.00,0.02,23100,"[34,43,0,0,0,34,100,0,43,43,65,65]",2025-12-23,"Image pack, Video, Related searches, AI overview",informational,Organic
endodontiste à proximité,85,85,50,23,0.00,https://www.dabadoc.com/ma/dentiste/casablanca/hay-el-oulfa,0,0,0.00,0,348000,"[0,11,11,29,82,100,100,5,0,11,11]",2025-12-04,"People also ask, Related searches, AI overview",informational,Organic
dab daba,56,56,40,26,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,4070000,"[14,14,14,100,14,64,14,14,14,14,14,14]",2025-12-03,"Knowledge panel, Video, Featured video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
dabado,42,42,140,34,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,8,"[8,8,13,10,6,8,8,8,8,13,10,8]",2025-11-25,"Sitelinks, Video, Image, Related searches",navigational,Organic
cervicofacial,70,70,110,15,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,1210000,"[66,66,42,42,52,42,66,52,52,52,52,80]",2025-12-22,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
othman el alami,2,2,70,14,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/othman-el-alami,0,0,0.00,0,337000,"[45,45,63,63,45,45,45,81,45,63,81,100]",2025-12-16,"Knowledge panel, Image pack, Video, Related searches, Short videos",informational,Image pack
othman el alami,29,29,70,14,0.00,https://www.dabadoc.com/ma/en/dentist/marrakech/othman-el-alami,0,0,0.00,0,337000,"[45,45,63,63,45,45,45,81,45,63,81,100]",2025-12-16,"Knowledge panel, Image pack, Video, Related searches, Short videos",informational,Organic
othman el alami,54,54,70,14,0.00,https://www.dabadoc.com/ma/chirurgie-buccale/marrakech/othman-el-alami,0,0,0.00,0,337000,"[45,45,63,63,45,45,45,81,45,63,81,100]",2025-12-16,"Knowledge panel, Image pack, Video, Related searches, Short videos",informational,Organic
othman el alami,62,62,70,14,0.00,https://www.dabadoc.com/ma/chirurgie-buccale/marrakech/othman-el-alami,0,0,0.00,0,337000,"[45,45,63,63,45,45,45,81,45,63,81,100]",2025-12-16,"Knowledge panel, Image pack, Video, Related searches, Short videos",informational,Organic
طبيب جلدي,23,23,30,5,1.80,https://www.dabadoc.com/ma/ar/dermatologue/casablanca,0,0,0.00,0.17,10,"[11,11,11,11,11,82,11,11,11,11,11,11]",2025-11-17,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
طبيب جلدي,53,53,30,5,1.80,https://www.dabadoc.com/ma/ar/dermatologue/rabat,0,0,0.00,0.17,10,"[11,11,11,11,11,82,11,11,11,11,11,11]",2025-11-17,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
doctolibre,77,77,880,75,1.25,https://www.dabadoc.com/ma,0,0,0.00,0.02,10700000,"[4,10,30,20,30,36,100,36,54,36,41,54]",2025-12-10,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
datadock,66,66,210,16,1.02,https://www.dabadoc.com/ma,0,0,0.00,0.22,10,"[7,53,43,66,53,66,23,66,53,66,82,100]",2025-11-19,"Knowledge panel, Image pack, Video, Ads bottom, People also ask, Related searches",informational,Organic
datadock,93,93,210,16,1.02,https://www.dabadoc.com/ma,0,0,0.00,0.22,10,"[7,53,43,66,53,66,23,66,53,66,82,100]",2025-11-19,"Knowledge panel, Image pack, Video, Ads bottom, People also ask, Related searches",informational,Organic
home esthe,65,65,50,0,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,15500000,"[78,14,14,35,35,35,21,50,0,50,35,35]",2025-11-06,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
dostolib,54,54,70,67,1.78,https://www.dabadoc.com/ma,0,0,0.00,0.01,12800000,"[0,0,0,0,0,0,0,100,0,0,0,0]",2025-10-17,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
obstétricien,57,57,40,25,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1920000,"[100,0,36,9,36,27,81,81,9,9,0,18]",2025-12-23,"Knowledge panel, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
angiologue,35,35,40,37,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,10,"[1,1,4,1,1,1,11,1,1,1,1,1]",2025-11-15,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
angiologue,53,53,40,37,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,10,"[1,1,4,1,1,1,11,1,1,1,1,1]",2025-11-15,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
cervicobrachial neuralgia,42,42,110,18,0.00,https://www.dabadoc.com/ma/en/cervicobrachial-neuralgia,0,0,0.00,0,76,"[6,6,6,6,6,6,53,34,81,100,65,53]",2025-09-10,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
docteur gana,39,39,50,9,0.00,https://www.dabadoc.com/ma/en/neurosurgeon/rabat/rachid-gana,0,0,0.00,0,10,"[0,100,18,100,18,100,100,18,63,36,0,63]",2025-11-23,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
docteur gana,64,64,50,9,0.00,https://www.dabadoc.com/ma/en/neurosurgeon/rabat/rachid-gana,0,0,0.00,0,10,"[0,100,18,100,18,100,100,18,63,36,0,63]",2025-11-23,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
docteur gana,72,72,50,9,0.00,https://www.dabadoc.com/ma/neurochirurgien/rabat/rachid-gana,0,0,0.00,0,10,"[0,100,18,100,18,100,100,18,63,36,0,63]",2025-11-23,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
docteur gana,97,97,50,9,0.00,https://www.dabadoc.com/ma/medecin-generaliste/oujda/fadela-gana,0,0,0.00,0,10,"[0,100,18,100,18,100,100,18,63,36,0,63]",2025-11-23,"Knowledge panel, Image pack, Video, Related searches",informational,Organic
qtqtqt,42,42,140,21,0.02,https://www.dabadoc.com/ma/en/algologist/ait-melloul/qt-qtqt,0,0,0.00,0.02,5020,"[33,42,42,52,66,66,52,52,42,80,66,100]",2025-12-27,"Image pack, Image","commercial, informational",Organic
qtqtqt,72,72,140,21,0.02,https://www.dabadoc.com/ma/algologue-traitement-de-la-douleur/ait-melloul/qt-qtqt,0,0,0.00,0.02,5020,"[33,42,42,52,66,66,52,52,42,80,66,100]",2025-12-27,"Image pack, Image","commercial, informational",Organic
doctolinb,96,96,50,72,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,10900000,"[100,0,0,0,0,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dada moroccan,58,58,40,38,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,928000,"[11,23,41,11,82,41,11,41,11,11,11,11]",2025-12-03,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
omeopathe,87,87,140,81,2.65,https://www.dabadoc.com/ma/medecin-generaliste/rabat/lamyae-naima-aljem,0,0,0.00,0.03,3620000,"[34,34,34,26,11,34,80,53,53,53,100,53]",2025-12-26,"Local pack, Sitelinks, Image, Related searches",informational,Organic
dr ahmed amine,26,0,40,13,0.00,https://www.dabadoc.com/ma/en/dentist/temara/dr-ahmed-amine-zizi,0,0,0.00,0.33,3440000,"[28,28,57,42,57,57,100,100,100,100,71,28]",2025-12-31,"Image pack, Video, Image, People also ask, Related searches","commercial, informational",Organic
soctolib,89,89,110,70,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,11000000,"[0,67,0,0,100,0,0,0,0,0,0,0]",2025-12-26,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
dr sbai,35,35,50,24,0.00,https://www.dabadoc.com/ma/dermatologue/temara/mounir-sbai,0,0,0.00,0,268000,"[78,14,21,78,14,14,64,35,14,14,14,14]",2025-11-12,"Knowledge panel, Top stories, Video, Related searches",informational,Organic
neurologue,41,41,590,32,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,2460000,"[2,2,2,100,2,5,5,3,3,2,2,2]",2025-12-16,"Knowledge panel, Video, Image, Related searches, AI overview",informational,Organic
dr sedki,40,40,40,19,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.01,10,"[18,100,18,18,100,18,18,18,100,18,18,18]",2025-11-17,"Local pack, Image pack, Video",commercial,Organic
doctoblib,90,90,110,73,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,10700000,"[0,0,8,8,10,8,0,0,0,0,0,0]",2025-12-25,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
dctolib,92,92,90,27,1.85,https://www.dabadoc.com/ma,0,0,0.00,0.03,10700000,"[0,0,44,100,0,0,0,0,12,0,0,0]",2025-12-22,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
endocrinologue,51,51,2900,29,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,1250000,"[2,2,81,100,81,66,29,3,1,1,1,0]",2025-12-27,"Knowledge panel, Video, Related searches, AI overview",informational,Organic
بعي,22,22,40,24,6.97,https://www.dabadoc.com/ma/ar/urologue/casablanca/walid-bai,0,0,0.00,0,426000,"[0,100,0,0,0,0,53,0,0,0,0,0]",2025-12-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
consultation en ligne,77,77,50,69,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.2,294000000,"[26,7,7,11,19,19,26,26,26,42,34,34]",2025-09-11,"Image pack, Sitelinks, Video, People also ask, Related searches","commercial, informational",Organic
neurochirurgien,51,51,40,17,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,10,"[1,0,0,0,2,2,2,1,5,0,0,0]",2025-11-10,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
dr al kadi,40,40,110,24,0.00,https://www.dabadoc.com/ma/en/pediatric-surgeon/tanger/al-kadi,0,0,0.00,0,7140000,"[80,33,66,52,80,100,52,80,80,33,0,0]",2025-12-11,"Knowledge panel, Video, Related searches","informational, transactional",Organic
docteur banner,59,59,170,36,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.02,70,"[18,23,23,23,18,15,23,23,23,23,100,66]",2025-09-09,"Sitelinks, People also ask, Related searches",,Organic
otorhinolaryngologiste,53,53,170,26,3.37,https://www.dabadoc.com/ma/oto-rhino-laryngologiste-orl/marrakech/adil-tijani,0,0,0.00,0.05,624000,"[1,2,2,26,11,4,4,5,32,100,0,0]",2025-10-17,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
salahddine,45,45,90,33,0.00,https://www.dabadoc.com/ma/en/cardiologist/casablanca/salahddine-slimani,0,0,0.00,0,49100,"[65,65,26,34,0,7,7,0,53,53,34,42]",2025-10-25,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
acupuncture بالعربي,27,27,40,23,0.00,https://www.dabadoc.com/ma/ar/acupuncture,0,0,0.00,0.14,23300000,"[23,11,11,11,23,11,100,52,11,0,11,11]",2025-12-18,"Instant answer, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
frouki,60,60,90,26,0.00,https://www.dabadoc.com/ma/en/psychologist/casablanca/najwa-el-farouki,0,0,0.00,0,40300000,"[0,0,0,1,0,0,0,100,0,0,0,0]",2025-12-21,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
دكتور اطفال,37,37,70,11,2.40,https://www.dabadoc.com/ma/ar/neonatologiste,0,0,0.00,0.08,10,"[18,100,63,81,63,45,63,63,63,63,63,81]",2025-11-12,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
وخً,77,77,1600,26,0.00,https://www.dabadoc.com/ma/ar/traumatologue-orthopediste/rabat,0,0,0.00,0,1230000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2025-12-23,"Video, Image, Related searches, Short videos","informational, transactional",Organic
وخً,81,81,1600,26,0.00,https://www.dabadoc.com/ma/ar/traumatologue-orthopediste/rabat,0,0,0.00,0,1230000,"[0,0,0,0,100,0,0,0,0,0,0,0]",2025-12-23,"Video, Image, Related searches, Short videos","informational, transactional",Organic
التازي,14,14,50,31,0.00,https://www.dabadoc.com/ma/ar/ophtalmologue/casablanca/nacer-tazi,0,0,0.00,0,753000,"[18,45,45,45,45,63,63,63,18,100,45,18]",2025-12-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, See results about, Short videos",informational,Organic
pediatre,79,79,390,22,2.00,https://www.dabadoc.com/ma,0,0,0.00,0.05,5920000,"[76,2,55,45,0,100,16,1,16,16,16,20]",2025-12-19,"Image pack, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
فاهر,23,23,210,17,0.00,https://www.dabadoc.com/ma/ar/traumatologue-orthopediste/marrakech/mohcine-faher,0,0,0.00,0,32800,"[2,2,5,10,15,19,7,12,100,67,19,36]",2025-11-07,"Video, Image, Related searches",informational,Organic
dr morsli,48,48,170,28,4.85,https://www.dabadoc.com/ma/en/ophthalmologist/el-jadida/ilham-morsli,0,0,0.00,0.03,62900,"[80,66,80,100,80,66,80,80,100,100,66,100]",2025-12-01,"Knowledge panel, Video, Related searches",informational,Organic
صيدلية الشفاء,65,65,50,16,0.00,https://www.dabadoc.com/ma/ar/traumatologue-orthopediste/oujda,0,0,0.00,0.01,5950000,"[11,64,64,64,41,29,41,29,11,11,11,11]",2025-10-17,"Sitelinks, Video, Image, Related searches, AI overview",navigational,Organic
rdv ophtalmo,89,89,50,21,0.00,https://www.dabadoc.com/ma,0,0,0.00,0.33,820000,"[18,100,100,100,100,36,18,18,18,18,18,18]",2025-12-23,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
rdvs,89,89,110,32,0.00,https://www.dabadoc.com/ma,0,0,0.00,0,249000,"[1,3,5,4,0,0,0,0,0,0,0,0]",2025-11-28,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
